res_id,name,locality,cuisines,average_cost_for_two,rating,votes
59638,Bangalore Brew Works,Residency Road,"Continental, Italian",1700,4.3,2239
18782265,The Bangalore Cafe,Shanti Nagar,"Modern Indian, North Indian, Pizza, Continental, Beverages",800,4.2,525
55863,"The Lantern Restaurant & Bar - The Ritz-Carlton, Bangalore",The Ritz-Carlton,Chinese,3500,4.3,432
18278241,Glen's Bakehouse,Lavelle Road,"Bakery, Cafe, Italian, Desserts",600,4.4,1115
18339874,Farzi Cafe,UB City,Modern Indian,1500,4.4,2435
55788,Smoke House Deli,Lavelle Road,"European, Italian, Desserts, Salad, Juices, Steak",1600,4.6,2521
60673,Soda Bottle Opener Wala,Lavelle Road,"Parsi, North Indian",1300,4.4,3727
56019,Spice Terrace - JW Marriott,"JW Marriott Bengaluru, Lavelle Road","North Indian, Seafood",3000,4.3,772
54097,Arbor Brewing Company,Brigade Road,"American, Continental",2000,4.5,8419
50642,Mangalore Pearl - Seafood Restaurant,Frazer Town,"Mangalorean, Seafood",700,4.3,1384
58720,Oh! Calcutta,Church Street,"Bengali, Seafood",1200,4.5,1142
51038,Truffles,St. Marks Road,"Cafe, American, Burger, Steak",900,4.5,3599
55907,JW Kitchen - JW Marriott Bengaluru,"JW Marriott Bengaluru, Lavelle Road","North Indian, Continental, Italian",2200,4.4,2143
50499,i-Bar - The Park Bangalore,"The Park, MG Road","North Indian, Chinese, Mediterranean",3000,3.8,623
18647503,Bangalore Pub Exchange,"1 MG Road Mall, MG Road","Continental, Finger Food, Pizza, North Indian",1000,4.2,226
54056,Mahesh Lunch Home,Residency Road,"Seafood, Mangalorean, North Indian, Chinese",1400,4.1,866
51822,Koshy's,St. Marks Road,"South Indian, North Indian, Chinese, Beverages",700,3.8,2332
51552,Skyye,UB City,Continental,2500,4.2,3140
50420,Fava,UB City,"Healthy Food, Mediterranean, Desserts, Italian, Pizza, Salad, Kebab",1200,4.4,2055
50975,The 13th Floor,Barton Centre,"Asian, North Indian, Thai",1700,4.4,4614
50462,Hard Rock Cafe,St. Marks Road,"American, BBQ",2500,4.5,5290
51906,Airlines Hotel,Lavelle Road,"South Indian, North Indian, Street Food",400,4,872
50890,Shiro,UB City,"Japanese, Asian",3000,4.4,2245
57730,Caperberry,UB City,"Spanish, Italian, Mediterranean, European, Salad",2200,4.6,1439
18379660,Cafe Azzure,MG Road,"Cafe, Continental, Italian, Burger",1200,4.2,2747
18263403,BLOW,Church Street,"Cafe, Continental, American, Burger",750,4.3,972
55349,Bangalore Mandarin,Indiranagar,"Chinese, Seafood",1100,4.2,988
51907,The Biere Club,Lavelle Road,"Continental, BBQ, Finger Food",1700,4.3,3498
50633,Mainland China,Church Street,Chinese,1700,4.5,1431
58450,Murphy's Brewhouse - The Paul Bangalore,"The Paul, Ring Road","Continental, North Indian, Finger Food",1700,4.3,2039
18945224,Secret Of Bangalore,Rajarajeshwari Nagar,"North Indian, South Indian, Continental, Asian, Desserts",1200,4.3,435
50221,Cafe Noir,UB City,"European, French, Salad",1500,4.2,2080
55908,Alba - JW Marriott Bengaluru,"JW Marriott Bengaluru, Lavelle Road",Italian,4000,4.4,578
53059,Lakeview Milkbar,MG Road,"Desserts, Fast Food, Beverages",450,4,1469
18871246,ShakesBierre,Brigade Road,"Asian, Continental, European, North Indian",1500,4.5,403
18494064,MISU,St. Marks Road,"Asian, Japanese, Korean, Indonesian, Malaysian, Singaporean",1700,4.5,1258
51658,24/7 - The Lalit Ashok Bangalore,"The Lalit Ashok Bangalore, Seshadripuram","Continental, North Indian, Italian, Chinese",3000,4,344
18680821,Kazé,Lavelle Road,"Asian, Japanese, Thai",3000,4.4,895
54311,Cafe Mangii,UB City,"Italian, Continental, Pizza",1600,4.3,1055
60587,Smally's Resto Cafe,Church Street,"Cafe, Italian, Burger, American, Steak",650,4.2,3581
17956671,The White Room - Coffee & Kitchen,Church Street,"Cafe, Continental, American, Desserts",1000,4.1,1750
18673909,The Bar Stock Exchange,St. Marks Road,"Continental, Chinese, North Indian, Finger Food",1300,4.2,650
18308756,Hammered,Cunningham Road,"North Indian, Thai, Japanese, Continental, Cafe",1300,4.6,4841
18689586,Alchemy - The Chancery Pavilion,"The Chancery Pavilion, Residency Road",Modern Indian,2000,4.3,497
18224650,Brik Oven,Church Street,"Cafe, Pizza, Beverages",1100,4.6,2295
57438,Church Street Social,Church Street,"American, North Indian, Chinese, Finger Food, Momos",1500,4.3,7584
57408,Sriracha,UB City,"Thai, Chinese, Indonesian, Asian, Momos",1500,4.3,699
18565078,BBQ'D - Global Grill & Brewery,UB City,"BBQ, North Indian",1500,4.3,469
50141,Bheema's,Church Street,Andhra,650,4,787
51912,Hotel Tom's Restaurant,Richmond Road,"Mangalorean, Seafood, Chinese, North Indian",1000,4.4,725
59229,Rasovara,UB City,"Rajasthani, North Indian",1400,4.3,772
52459,CTR,Malleshwaram,South Indian,150,4.8,4421
